cell,deck,path,bytes,content_type,source_url,repository_url
F5,Runas,baralhos/runas/algiz.png,21432,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/algiz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/algiz.png
G5,Cartas Sakura,baralhos/cartas-sakura/SakuraFirey.webp,16002,image/webp,https://static.wikia.nocookie.net/ccs/images/9/97/SakuraFirey.jpg/revision/latest/scale-to-width-down/150?cb=20160527124050,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraFirey.webp
F6,Runas,baralhos/runas/ansusz.png,20079,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/ansusz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/ansusz.png
G6,Cartas Sakura,baralhos/cartas-sakura/SakuraSong.webp,14928,image/webp,https://static.wikia.nocookie.net/ccs/images/4/4c/SakuraSong.jpg/revision/latest/scale-to-width-down/150?cb=20160527125949,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraSong.webp
F7,Runas,baralhos/runas/berkano.png,22526,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/berkano.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/berkano.png
G7,Cartas Sakura,baralhos/cartas-sakura/SakuraSword.webp,15104,image/webp,https://static.wikia.nocookie.net/ccs/images/a/ab/SakuraSword.jpg/revision/latest/scale-to-width-down/150?cb=20160527125304,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraSword.webp
F8,Runas,baralhos/runas/dagaz.png,18995,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/dagaz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/dagaz.png
G8,Cartas Sakura,baralhos/cartas-sakura/SakuraJump.webp,14074,image/webp,https://static.wikia.nocookie.net/ccs/images/5/58/SakuraJump.jpg/revision/latest/scale-to-width-down/150?cb=20160606171252,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraJump.webp
F9,Runas,baralhos/runas/ehwaz.png,21703,image/png,https://raw.githubusercontent.com/estathidev/divinacao/main/img/runas/ehwaz.png,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/runas/ehwaz.png
G9,Cartas Sakura,baralhos/cartas-sakura/SakuraFly.webp,15664,image/webp,https://static.wikia.nocookie.net/ccs/images/5/51/SakuraFly.jpg/revision/latest/scale-to-width-down/150?cb=20160527124738,https://raw.githubusercontent.com/estathidev/baralhos/main/baralhos/cartas-sakura/SakuraFly.webp
